Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.16716716716716717
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.01701701701701702
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,2,0.016016016016016016
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,4,0.01701701701701702
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,3,0.01701701701701702
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.01701701701701702
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,3,0.01701701701701702
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,4,0.01701701701701702
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.01701701701701702
Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,2,0.016016016016016016
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.009018036072144289
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.009018036072144289
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,4,0.998997995991984
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,4,0.009018036072144289
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,3,0.009018036072144289
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.009018036072144289
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,3,0.009018036072144289
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,5,0.009018036072144289
PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.009018036072144289
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.1941941941941942
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.1961961961961962
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,2,0.1931931931931932
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,7,0.2002002002002002
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,3,0.1941941941941942
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,3,0.1941941941941942
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,5,0.1961961961961962
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,4,0.19519519519519518
IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,2,0.1931931931931932
